,jmlDifabel1,jmlDifabel2,jmlDifabel3,jmlDifabel4,jmlDifabel5,jmlPemilihKosong,jmlPemilihLaki,jmlPemilihPemulaLaki,jmlPemilihPemulaPerempuan,jmlPemilihPerempuan,jmlTps,namaKabKota,namaKecamatan,namaKelurahan,namaPropinsi,persenDifabel,persenPemilihPemula,totalDifabel,totalPemilih,totalPemilihPemula
215,28,2,1,12,7,0,13236,58,43,13353,53,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,DKI JAKARTA,0.19,0.38,50,26589,101
216,3,1,0,0,1,0,13756,49,51,14206,54,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,DKI JAKARTA,0.02,0.36,5,27962,100
217,2,1,2,0,1,0,11933,36,30,11964,44,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,DKI JAKARTA,0.03,0.28,6,23897,66
218,5,2,0,0,1,0,6797,30,24,8776,25,JAKARTA TIMUR,PASAR REBO,BARU,DKI JAKARTA,0.05,0.35,8,15573,54
219,16,9,4,4,7,0,15029,50,42,15801,55,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,DKI JAKARTA,0.13,0.3,40,30830,92
220,0,0,0,7,1,0,13097,36,39,13841,45,JAKARTA TIMUR,PASAR REBO,GEDONG,DKI JAKARTA,0.03,0.28,8,26938,75
221,3,6,8,6,3,0,15273,67,54,16089,50,JAKARTA TIMUR,PASAR REBO,KALISARI,DKI JAKARTA,0.08,0.39,26,31362,121
222,12,7,4,4,13,0,15552,43,37,16254,58,JAKARTA TIMUR,PASAR REBO,PEKAYON,DKI JAKARTA,0.13,0.25,40,31806,80
223,3,3,4,1,4,0,15651,66,49,16592,60,JAKARTA TIMUR,PULOGADUNG,CIPINANG,DKI JAKARTA,0.05,0.36,15,32243,115
224,3,0,0,0,1,0,13246,36,38,14007,50,JAKARTA TIMUR,PULOGADUNG,JATI,DKI JAKARTA,0.01,0.27,4,27253,74
225,3,0,0,2,3,0,9306,29,22,9247,35,JAKARTA TIMUR,PULOGADUNG,JATINEGARA KAUM,DKI JAKARTA,0.04,0.27,8,18553,51
226,0,0,0,1,1,0,16174,78,50,16804,55,JAKARTA TIMUR,PULOGADUNG,KAYU PUTIH,DKI JAKARTA,0.01,0.39,2,32978,128
227,26,13,11,13,25,0,16740,37,43,16747,66,JAKARTA TIMUR,PULOGADUNG,PISANGAN TIMUR,DKI JAKARTA,0.26,0.24,88,33487,80
228,2,0,0,1,2,0,13422,1,1,13094,54,JAKARTA TIMUR,PULOGADUNG,PULO GADUNG,DKI JAKARTA,0.02,0.01,5,26516,2
229,2,0,1,5,5,0,15716,45,41,16108,57,JAKARTA TIMUR,PULOGADUNG,RAWAMANGUN,DKI JAKARTA,0.04,0.27,13,31824,86
230,1,0,0,0,1,0,17106,43,43,16957,74,JAKARTA UTARA,CILINCING,CILINCING,DKI JAKARTA,0.01,0.25,2,34063,86
231,2,2,0,1,1,0,26107,103,95,25572,96,JAKARTA UTARA,CILINCING,KALIBARU,DKI JAKARTA,0.01,0.38,6,51679,198
232,2,0,1,2,1,0,9833,39,42,9746,37,JAKARTA UTARA,CILINCING,MARUNDA,DKI JAKARTA,0.03,0.41,6,19579,81
233,15,3,8,5,0,0,14794,48,58,14907,52,JAKARTA UTARA,CILINCING,ROROTAN,DKI JAKARTA,0.1,0.36,31,29701,106
234,0,3,1,0,1,0,26455,84,88,26840,101,JAKARTA UTARA,CILINCING,SEMPER BARAT,DKI JAKARTA,0.01,0.32,5,53295,172
235,6,2,0,2,0,0,13655,32,40,14115,51,JAKARTA UTARA,CILINCING,SEMPER TIMUR,DKI JAKARTA,0.04,0.26,10,27770,72
236,1,1,0,0,2,0,17991,58,71,18382,75,JAKARTA UTARA,CILINCING,SUKAPURA,DKI JAKARTA,0.01,0.35,4,36373,129
237,0,0,0,0,0,0,12693,48,24,14335,52,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,DKI JAKARTA,0.0,0.27,0,27028,72
238,0,0,0,2,2,0,14132,29,40,15498,56,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,DKI JAKARTA,0.01,0.23,4,29630,69
239,0,1,0,0,1,0,19191,55,47,20223,71,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,DKI JAKARTA,0.01,0.26,2,39414,102
240,0,0,0,1,0,0,11863,24,25,11004,48,JAKARTA UTARA,KOJA,KOJA,DKI JAKARTA,0.0,0.21,1,22867,49
241,1,0,1,1,1,0,22709,67,82,22961,86,JAKARTA UTARA,KOJA,LAGOA,DKI JAKARTA,0.01,0.33,4,45670,149
242,1,0,3,0,11,0,15578,41,51,15596,57,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,DKI JAKARTA,0.05,0.3,15,31174,92
243,2,0,0,0,0,0,14212,44,27,13603,55,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,DKI JAKARTA,0.01,0.26,2,27815,71
244,11,0,0,0,0,0,14281,33,45,14040,55,JAKARTA UTARA,KOJA,TUGU SELATAN,DKI JAKARTA,0.04,0.28,11,28321,78
245,9,2,3,1,6,0,25500,97,93,25492,96,JAKARTA UTARA,KOJA,TUGU UTARA,DKI JAKARTA,0.04,0.37,21,50992,190
246,4,1,0,3,3,0,10362,24,27,9343,38,JAKARTA UTARA,PADEMANGAN,ANCOL,DKI JAKARTA,0.06,0.26,11,19705,51
247,1,0,1,1,0,0,30201,100,87,28848,113,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,DKI JAKARTA,0.01,0.32,3,59049,187
248,8,2,3,2,1,0,15448,47,20,15785,64,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,DKI JAKARTA,0.05,0.21,16,31233,67
249,0,0,0,0,0,0,4691,13,21,4610,18,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,DKI JAKARTA,0.0,0.37,0,9301,34
250,20,1,1,0,3,0,14053,45,39,13779,52,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,DKI JAKARTA,0.09,0.3,25,27832,84
251,5,3,7,10,2,0,29516,94,93,29461,110,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,DKI JAKARTA,0.05,0.32,27,58977,187
252,6,5,2,1,4,0,37023,131,126,33754,138,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,DKI JAKARTA,0.03,0.36,18,70777,257
253,0,0,0,1,1,0,18952,58,57,20135,72,JAKARTA UTARA,PENJARINGAN,PLUIT,DKI JAKARTA,0.01,0.29,2,39087,115
254,13,2,6,2,3,0,19234,74,51,19286,72,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,DKI JAKARTA,0.07,0.32,26,38520,125
