Kelurahan,DPT2,DPT1,DPT2_pemula,DPT2_numTPS,DPT2diff_abs,DPT2diff_pct
KEBAGUSAN,35252,34987,112,59,265,0.76
KEBAYORAN LAMA SELATAN,35294,34853,106,73,441,1.27
KEBAYORAN LAMA UTARA,38511,38369,110,74,142,0.37
KEBON BARU,30692,30169,94,53,523,1.73
KEBON BAWANG,38520,36871,125,72,1649,4.47
KEBON JERUK,42901,42299,116,78,602,1.42
KEBON KACANG,18613,18386,70,28,227,1.23
KEBON KELAPA,8978,8851,43,16,127,1.43
KEBON KOSONG,21753,20654,87,33,1099,5.32
KEBON MANGGIS,13112,13011,44,22,101,0.78
KEBON MELATI,26736,26688,94,45,48,0.18
KEBON PALA,37117,36915,93,77,202,0.55
KEBON SIRIH,11112,11100,31,19,12,0.11
KEDAUNG KALI ANGKE,27409,27450,67,47,-41,-0.15
KEDOYA SELATAN,26500,25811,60,47,689,2.67
KEDOYA UTARA,38166,37562,88,63,604,1.61
KELAPA DUA,18682,18205,64,31,477,2.62
KELAPA DUA WETAN,36142,35741,28,63,401,1.12
KELAPA GADING BARAT,27028,25919,72,52,1109,4.28
KELAPA GADING TIMUR,29630,28577,69,56,1053,3.68
KEMANGGISAN,28535,28578,70,50,-43,-0.15
KEMAYORAN,16983,16771,66,29,212,1.26
KEMBANGAN SELATAN,22114,21524,42,42,590,2.74
KEMBANGAN UTARA,41787,40786,138,79,1001,2.45
KENARI,8523,8467,25,15,56,0.66
KLENDER,54629,53656,196,86,973,1.81
KOJA,22867,22991,49,48,-124,-0.54
KOTA BAMBU SELATAN,18339,18189,59,32,150,0.82
KOTA BAMBU UTARA,22165,22208,60,39,-43,-0.19
KRAMAT,25208,25275,97,41,-67,-0.27
KRAMAT PELA,11980,11977,52,27,3,0.03
KRAMATJATI,27596,27758,78,46,-162,-0.58
KRENDANG,17839,17561,43,29,278,1.58
KRUKUT,16538,16281,49,25,257,1.58
KUNINGAN BARAT,11138,11279,36,23,-141,-1.25
KUNINGAN TIMUR,5113,5025,18,9,88,1.75
KWITANG,12965,13002,46,21,-37,-0.28
LAGOA,45670,44313,149,86,1357,3.06
LEBAK BULUS,32591,32191,89,55,400,1.24
LENTENG AGUNG,42785,42494,153,80,291,0.68
LUBANG BUAYA,49065,49137,145,86,-72,-0.15
MAKASAR,27699,27191,110,53,508,1.87
MALAKA JAYA,25471,25300,68,51,171,0.68
MALAKA SARI,22789,22205,66,45,584,2.63
MAMPANG PRAPATAN,15429,15702,44,29,-273,-1.74
MANGGA BESAR,6952,6797,23,12,155,2.28
MANGGA DUA SELATAN,23955,23756,94,39,199,0.84
MANGGARAI,24377,24251,102,56,126,0.52
MANGGARAI SELATAN,19799,19403,77,40,396,2.04
MAPHAR,15377,15482,28,25,-105,-0.68
MARUNDA,19579,18437,81,37,1142,6.19
MELAWAI,3011,3128,5,6,-117,-3.74
MENTENG,21726,21708,80,36,18,0.08
MENTENG ATAS,23781,23375,73,45,406,1.74
MENTENG DALAM,31150,30703,101,55,447,1.46
MERUYA SELATAN,24909,24517,78,48,392,1.60
MERUYA UTARA,34315,33177,100,61,1138,3.43
MUNJUL,17234,17098,53,25,136,0.80
PADEMANGAN BARAT,59049,57836,187,113,1213,2.10
PADEMANGAN TIMUR,31233,30639,67,64,594,1.94
PALMERAH,53638,52900,138,93,738,1.40
PALMERIAM,16186,16030,51,27,156,0.97
PANCORAN,15694,15215,45,26,479,3.15
PAPANGGO,30267,29313,90,58,954,3.25
PASAR BARU,11729,11565,45,19,164,1.42
PASAR MANGGIS,24263,24124,93,46,139,0.58
PASAR MINGGU,21017,21140,44,45,-123,-0.58
PASEBAN,20514,20586,84,33,-72,-0.35
PEGADUNGAN,59612,57774,219,98,1838,3.18
PEGANGSAAN,20131,20235,82,31,-104,-0.51
PEGANGSAAN DUA,39414,37734,102,71,1680,4.45
PEJAGALAN,58977,55833,187,110,3144,5.63
PEJATEN BARAT,32411,32128,81,66,283,0.88
PEJATEN TIMUR,50373,50168,102,92,205,0.41
